clock_period_ns,label,model_seed,place_directive,post_place_phys_directive,post_stage_hold_wns_ns,post_stage_setup_wns_ns,postroute_physopt,route_directive,route_routing_errors,route_unrouted_nets,run_dir,run_name,runtime_seconds,screen_only,status,timing_hold_failing,timing_setup_failing,timing_ths_ns,timing_tns_ns,timing_whs_ns,timing_wns_ns,tns_cleanup,util_bram,util_carry8,util_dsp,util_ff,util_lut,util_uram,variant
2.77,Seed 42,42,SSI_SpreadLogic_high,,0.026,0.007,1,Default,0,832614,build/vivado_sweep/qat_dsp_seed42_common_ssi_retime_route,qat_dsp_seed42_common_ssi_retime_route,3190,0,timing_met,0,0,0.000,0.000,0.026,0.007,1,0,49099,432,414520,264681,0,S0
2.77,Seed 43,43,SSI_SpreadLogic_high,,0.026,0.007,1,Default,0,832614,build/vivado_sweep/qat_dsp_seed43_common_ssi_retime_route,qat_dsp_seed43_common_ssi_retime_route,2964,0,timing_met,0,0,0.000,0.000,0.026,0.007,1,0,49099,432,414520,264681,0,S1
2.77,Seed 44,44,SSI_SpreadLogic_high,,0.026,0.007,1,Default,0,832614,build/vivado_sweep/qat_dsp_seed44_common_ssi_retime_route,qat_dsp_seed44_common_ssi_retime_route,2944,0,timing_met,0,0,0.000,0.000,0.026,0.007,1,0,49099,432,414520,264681,0,S2
