variant,n_seeds,mean,std,values
QAT,10,0.7524,0.0173,0.7130;0.7580;0.7630;0.7650;0.7370;0.7590;0.7500;0.7810;0.7470;0.7510
QAT_to_PO2,10,0.7519,0.0179,0.7100;0.7510;0.7640;0.7650;0.7360;0.7620;0.7460;0.7790;0.7510;0.7550
True_QAT_PO2,10,0.7520,0.0183,0.7110;0.7490;0.7600;0.7670;0.7350;0.7640;0.7520;0.7800;0.7420;0.7600
