pattern,hier_cell,lut,ff,dsp,slr,bbox
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7ns_15_4_0_U34,2,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7ns_15_4_0_U42,2,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7ns_15_4_0_U50,2,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7ns_15_4_0_U58,2,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U1,2,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U15,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U16,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U17,2,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U23,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U24,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U25,2,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U31,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U32,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U33,2,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U39,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U40,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U41,2,24,0,"",""
